iter	Passed	Remaining
0	1	106
1	1	95
2	2	90
3	3	83
4	4	83
5	5	81
6	6	81
7	7	80
8	7	80
9	8	79
10	9	78
11	10	77
12	11	76
13	12	75
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	19	67
22	20	66
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	52
40	35	51
41	35	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
